N0,Nend,T,P,Neaten
0.020357217514124,0.014718707627119,0.125,20,0.005638509887005
0.020357217514124,0.014938389830509,0.125,20,0.005418827683615
0.020357217514124,0.01405963817,0.125,20,0.006297579344124
0.044180532015066,0.029339778719397,0.125,20,0.014840753295669
0.044180532015066,0.031927146892655,0.125,20,0.012253385122411
0.044180532015066,0.030413780602637,0.125,20,0.013766751412429
0.056922099811676,0.043674774764595,0.125,20,0.013247325047081
0.056922099811676,0.044088753672316,0.125,20,0.01283334613936
0.056922099811676,0.04843553220339,0.125,20,0.008486567608286
0.106254586315129,0.083278756936598,0.125,20,0.022975829378531
0.106254586315129,0.081001872944131,0.125,20,0.025252713370998
0.106254586315129,0.075758140112994,0.125,20,0.030496446202135
0.125746093220339,0.095525632956686,0.125,20,0.030220460263653
0.125746093220339,0.090040412429379,0.125,20,0.03570568079096
0.125746093220339,0.090247401883239,0.125,20,0.0354986913371
0.319356087256748,0.210258975957314,0.125,20,0.109097111299434
0.319356087256748,0.189532692341494,0.125,20,0.129823394915254
0.319356087256748,0.199919266917765,0.125,20,0.119436820338983
0.462000461016949,0.320674831387319,0.125,20,0.14132562962963
0.462000461016949,0.327236006528562,0.125,20,0.134764454488387
0.462000461016949,0.348794153421218,0.125,20,0.113206307595731
0.654952384808538,0.525235739171375,0.125,20,0.129716645637163
0.654952384808538,0.437079711864407,0.125,20,0.217872672944131
0.654952384808538,0.462914338983051,0.125,20,0.192038045825487
0.958464666101695,0.848992630508474,0.125,20,0.109472035593221
0.958464666101695,0.805091338983051,0.125,20,0.153373327118644
0.958464666101695,0.830363579661017,0.125,20,0.128101086440678
1.4447668606403,1.28923836974263,0.125,20,0.15552849089767
1.4447668606403,1.25284272410546,0.125,20,0.19192413653484
1.4447668606403,1.23969108286252,0.125,20,0.20507577777778
